Level,Name,Inclusive Samples,Exclusive Samples,% Inclusive,% Exclusive,Details
32,ntoskrnl.exe!KiSwitchKernelStackContinue,12,0,0.0327868852459016,0,ntoskrnl!KiSwitchKernelStackContinue
33,ntoskrnl.exe!KxSwitchKernelStackCallout,12,0,0.0327868852459016,0,ntoskrnl!KxSwitchKernelStackCallout
34,tcpip.sys!IppLbTransmitStackCallout,12,0,0.0327868852459016,0,tcpip!IppLbTransmitStackCallout
35,tcpip.sys!IppLbIndicatePackets,12,0,0.0327868852459016,0,tcpip!IppLbIndicatePackets
36,tcpip.sys!TcpNlClientReceivePreValidatedDatagrams,12,0,0.0327868852459016,0,tcpip!TcpNlClientReceivePreValidatedDatagrams
37,tcpip.sys!TcpReceive,12,0,0.0327868852459016,0,tcpip!TcpReceive
38,tcpip.sys!TcpMatchReceive,12,0,0.0327868852459016,0,tcpip!TcpMatchReceive
39,tcpip.sys!TcpTcbReceive,12,1,0.0327868852459016,0.00273224043715847,tcpip!TcpTcbReceive
40,tcpip.sys!TcpTcbFastDatagram,11,0,0.0300546448087432,0,tcpip!TcpTcbFastDatagram
6,mt_iocp_server_viewoptisector.exe!get_selected_sector,23,0,0.0628415300546448,0,mt_iocp_server_viewOptiSector!get_selected_sector:iocp_main.cpp:114
7,mt_iocp_server_viewoptisector.exe!std::unordered_set<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *>,std::allocator<SESSION *> >::unordered_set<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *>,std::allocator<SESSION *> >,14,0,0.0382513661202186,0,mt_iocp_server_viewOptiSector!std::unordered_set<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *>,std::allocator<SESSION *> >::unordered_set<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *>,std::allocator<SESSION *> >:unordered_set:105
8,mt_iocp_server_viewoptisector.exe!std::_Hash<std::_Uset_traits<SESSION *,std::_Uhash_compare<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *> >,std::allocator<SESSION *>,0> >::_Hash<std::_Uset_traits<SESSION *,std::_Uhash_compare<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *> >,std::allocator<SESSION *>,0> ><std::allocator<std::_List_node<SESSION *,void *> > >,14,0,0.0382513661202186,0,mt_iocp_server_viewOptiSector!std::_Hash<std::_Uset_traits<SESSION *,std::_Uhash_compare<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *> >,std::allocator<SESSION *>,0> >::_Hash<std::_Uset_traits<SESSION *,std::_Uhash_compare<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *> >,std::allocator<SESSION *>,0> ><std::allocator<std::_List_node<SESSION *,void *> > >:xhash:403
